JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2445168.1299,4.667,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1299,4.667,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1313,4.670,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1313,4.670,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1333,4.676,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1333,4.676,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1347,4.676,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1347,4.676,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1361,4.677,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1361,4.677,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1465,4.690,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1465,4.690,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1479,4.692,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1479,4.692,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1493,4.696,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1493,4.696,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1507,4.698,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1507,4.698,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1535,4.703,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1535,4.703,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1549,4.706,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1549,4.706,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1563,4.709,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1563,4.709,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1576,4.712,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1576,4.712,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1597,4.718,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1597,4.718,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1688,4.707,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1688,4.707,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1701,4.712,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1701,4.712,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1715,4.714,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1715,4.714,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1736,4.715,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1736,4.715,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1750,4.716,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1750,4.716,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1826,4.721,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1826,4.721,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1840,4.719,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1840,4.719,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1854,4.716,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1854,4.716,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1882,4.722,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1882,4.722,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1896,4.722,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1896,4.722,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1910,4.726,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1910,4.726,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1924,4.727,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1924,4.727,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1938,4.733,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1938,4.733,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1951,4.733,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1951,4.733,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.1965,4.734,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
