jds,mags
2459547.826,12.69107876
2459548.873,12.61632391
2459549.864,12.65126744
2459550.841,12.5479936
2459551.815,12.59149691
2459552.849,12.53438327
2459553.806,12.46795635
2459554.85,12.39574409
2459560.726,12.24386679
2459566.824,12.0394191
2459584.764,11.50493209
2459585.79,11.46843665
2459589.697,11.32041646
2459591.772,11.29277456
2459600.751,11.11832148
2459604.709,11.05233816
2459607.699,10.96471764
2459610.719,10.90823716
2459613.703,10.79727933
2459615.694,10.69977922
2459617.692,10.63881673
2459619.695,10.5857884
2459839.961,12.09857977
2459841.952,12.10713727
2459842.985,12.09708095
2459844.943,12.12724717
2459848.934,12.22259182
2459849.938,12.29093491
2459850.966,12.2060318
2459852.978,12.27346757
2459853.956,12.22964659
2459855.951,12.16894028
2459858.94,12.2416863
2459859.941,12.26251188
2459873.868,12.53020386
2459877.875,12.33347852
2459878.957,12.39856275
2459880.881,12.38178449
2459881.91,12.31309497
2459882.908,12.46572984
2459883.857,12.42656561
2459889.827,12.3539392
2459894.808,12.24034886
2459896.803,12.33560231
2459898.852,12.28870737
2459899.863,12.35833763
2459900.912,12.32331771
2459901.84,12.33484528
2459902.903,12.39106658
2459903.814,12.3360665
2459904.851,12.39199713
2459906.808,12.38779568
