jds,mags,magerrs,flxs,fluxerr
2459552.849,12.53438327,0.05868885171,127.71640694473363,12488907.79709357
2459553.806,12.46795635,0.05441043625,135.77426485538314,12538218.257592756
2459554.85,12.39574409,0.05428579619,145.11167796500916,12539657.69930371
2459560.726,12.24386679,0.04485608306,166.89882685505606,12649040.024210058
2459566.824,12.0394191,0.03987937961,201.4801938345398,12707152.680958342
2459584.764,11.50493209,0.02342379376,329.6303290598045,12901211.12758692
2459585.79,11.46843665,0.03215005427,340.8986960187864,12797937.304743486
2459589.697,11.32041646,0.02377023941,390.691008199394,12897095.159603382
2459591.772,11.29277456,0.02469600816,400.7653596266246,12886102.951028604
2459600.751,11.11832148,0.0136904653,470.6211145257089,13017386.924915155
2459604.709,11.05233816,0.01413603854,500.10907575444946,13012045.840000255
2459607.699,10.96471764,0.01470560703,542.1418632018501,13005221.615417112
2459610.719,10.90823716,0.01949386301,571.0907632534427,12947992.96587997
2459613.703,10.79727933,0.01737432798,632.5403987207982,12973294.258498648
2459615.694,10.69977922,0.01173791407,691.971666211143,13040818.015345832
2459617.692,10.63881673,0.01159899317,731.9363365700096,13042486.706205567
2459619.695,10.5857884,0.009481195328,768.5721441466345,13067951.737405129
2459839.961,12.09857977,0.05079992455,190.79548442472984,12579982.303517845
2459841.952,12.10713727,0.04715206573,189.29759310526643,12622319.637639988
2459842.985,12.09708095,0.04777259252,191.0590526486953,12615107.711167557
2459844.943,12.12724717,0.04281561295,185.82371231669964,12672834.253489187
2459848.934,12.22259182,0.05305322537,170.2014564051033,12553901.299698915
2459849.938,12.29093491,0.05931938594,159.81812677367847,12481657.050840665
2459850.966,12.2060318,0.04778440595,172.81732559452834,12614970.452337561
2459852.978,12.27346757,0.07395244887,162.41007690439392,12314563.441449175
2459853.956,12.22964659,0.05912528172,169.09912641902233,12483888.678443462
2459855.951,12.16894028,0.1933266762,178.82321061769926,11032382.977936424
2459858.94,12.2416863,0.04725336938,167.23434748946744,12621141.978284376
2459859.941,12.26251188,0.05620149074,164.0571822154167,12517551.985518048
2459873.868,12.53020386,0.1537653608,128.20898323052614,11441786.92068706
2459877.875,12.33347852,0.07624857944,153.67690025826636,12288547.943915442
2459878.957,12.39856275,0.05064479627,144.73544475637922,12581779.840000156
2459880.881,12.38178449,0.06891475186,146.98946324173593,12371834.429136263
2459881.91,12.31309497,0.06845738375,156.5892745113583,12377047.182008494
2459882.908,12.46572984,0.1139150642,136.05298166887252,11869542.349743655
2459883.857,12.42656561,0.05042242476,141.0502161438056,12584356.999998076
