Name,RA,Dec,Classification,Instrument_Date
WISE-ToI-1261,274.4338721,-25.4767354,C-star,TSPEC_20210702
WISE-ToI-1269,276.8474434,-20.141719,RCB,TSPEC_20240517
WISE-ToI-1275,278.1087248,-7.6006051,M-star,TSPEC_20201003
WISE-ToI-1279,278.698687,-18.6492663,C-star,TSPEC_20210702
WISE-ToI-1281,279.2083391,-9.7750533,C-star,TSPEC_20210629
WISE-ToI-1286,279.5613584,-17.5256558,C-star,TSPEC_20191023
WISE-ToI-1294,280.6214949,-0.3622564,M-star,TSPEC_20191023
WISE-ToI-1309,284.3600382,13.8192983,RCB,IRTF_20200628
WISE-ToI-1372,296.3851686,28.7466257,Symb?,TSPEC_20191023
WISE-ToI-1386,298.5109437,12.01259,Symb?,TSPEC_20191023
WISE-ToI-1389,299.2818326,30.5377802,Em. star,TSPEC_20210629
WISE-ToI-1390,299.2989989,31.8404214,Symb?,TSPEC_20210429
WISE-ToI-1406,303.1142759,40.73222,C-star,TSPEC_20240517
WISE-ToI-1420,309.6079478,51.6946402,RCB,TSPEC_20230113
WISE-ToI-1425,311.5430584,43.1035652,C-star,TSPEC_20200929
WISE-ToI-1440,328.6736286,57.8739432,Symb?,TSPEC_20211129
WISE-ToI-1444,333.9953816,42.3795001,RCB,TSPEC_20201029
WISE-ToI-1446,338.823409,59.6368774,RCB,TSPEC_20210204
WISE-ToI-1451,350.1448316,62.1364602,C-star,TSPEC_20200203
WISE-ToI-1456,359.0446005,72.3383264,Symb?,TSPEC_20191023
WISE-ToI-2015,48.1784911,43.4137855,M-star,TSPEC_20200904
WISE-ToI-2016,50.9582677,64.9463705,M-star,TSPEC_20200904
WISE-ToI-2020,56.8802979,58.4695843,H-rich,TSPEC_20191023
WISE-ToI-2023,69.0832237,52.2365894,M-star,TSPEC_20210629
WISE-ToI-2029,81.955515,6.7774265,M-star,TSPEC_20211028
WISE-ToI-2033,89.1411648,30.3876511,M-star,TSPEC_20210330
WISE-ToI-2037,91.4640191,-15.6541097,RVT/YSO,TSPEC_20210330
WISE-ToI-2042,97.5689274,-16.4937602,RVT/YSO,TSPEC_20201029
WISE-ToI-2046,100.6789459,-11.6569536,H-rich,TSPEC_20191023
WISE-ToI-2060,111.0797482,9.2088993,RVT/YSO,TSPEC_20210330
WISE-ToI-2271,237.1606186,-16.19475,M-star,TSPEC_20201222
WISE-ToI-2279,239.1238689,9.0304397,M-star,IRTF_20210721
WISE-ToI-2382,258.1999541,-25.1850752,M-star,TSPEC_20210629
WISE-ToI-2395,259.5958931,-24.6373459,M-star,TSPEC_20210429
WISE-ToI-2405,260.225509,-15.8066996,M-star,TSPEC_20210702
WISE-ToI-2416,261.0217657,-25.285023,M-star,TSPEC_20210629
WISE-ToI-2430,262.1013249,-19.2240539,M-star,TSPEC_20210702
WISE-ToI-2431,262.2125932,-17.8880228,M-star,TSPEC_20210702
WISE-ToI-2432,262.4570265,-25.4136076,M-star,TSPEC_20210702
WISE-ToI-2434,262.7476911,-14.1247607,M-star,TSPEC_20210629
WISE-ToI-2437,263.0712316,-26.8071033,M-star,TSPEC_20210629
WISE-ToI-2440,263.3539971,-23.4748444,M-star,TSPEC_20211015
WISE-ToI-2444,263.5883309,-23.4896061,M-star,IRTF_20210721
WISE-ToI-2451,263.9660378,-21.8307802,M-star,TSPEC_20201003
WISE-ToI-2467,264.7084274,-21.2407765,M-star,IRTF_20210721
WISE-ToI-2468,264.7641872,-17.1334745,M-star,IRTF_20210721
WISE-ToI-2476,265.1439906,-18.0671228,M-star,IRTF_20210721
WISE-ToI-2477,265.1665893,-14.7931794,H-rich,TSPEC_20210629
WISE-ToI-2479,265.3301349,-18.0976574,M-star,TSPEC_20210629
WISE-ToI-2480,265.3731844,-21.9858394,M-star,IRTF_20210721
WISE-ToI-2482,265.4389244,-24.8076024,M-star,IRTF_20210721
WISE-ToI-2492,265.8963606,-22.5188923,M-star,IRTF_20210721
WISE-ToI-2495,266.1185311,-25.1635021,M-star,TSPEC_20210629
WISE-ToI-2497,266.1880375,-23.8776497,M-star,IRTF_20210721
WISE-ToI-2498,266.3218819,-17.9178191,M-star,IRTF_20210721
WISE-ToI-2505,266.665281,-24.2447747,M-star,IRTF_20210721
WISE-ToI-2508,266.8035519,-18.8364456,M-star,IRTF_20210721
WISE-ToI-2512,267.1462582,-13.0411785,M-star,TSPEC_20211015
WISE-ToI-2517,267.3058364,-21.5506081,M-star,TSPEC_20210915
WISE-ToI-2528,268.0786388,-21.6667121,M-star,IRTF_20210721
WISE-ToI-2532,268.1986285,-21.5998977,M-star,IRTF_20210721
WISE-ToI-2535,268.2849412,-25.2184756,M-star,TSPEC_20210429
WISE-ToI-2536,268.3044526,-25.9101768,M-star,IRTF_20210722
WISE-ToI-2538,268.3546637,-22.0386703,M-star,TSPEC_20201003
WISE-ToI-2547,268.6632758,-20.5840159,M-star,TSPEC_20210727
